time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1989-12-16T11:20:40.670Z,37.3548333,-121.7223333,5.557,2.55,md,91,39,0.02883,0.04,nc,nc148982,2016-12-10T01:31:42.160Z,"8 km ESE of East Foothills, California",earthquake,0.09,0.23,0.12,73,reviewed,nc,nc
1989-12-15T08:38:32.860Z,36.8205,-121.5378333,4.978,2.78,md,67,33,0.03153,0.11,nc,nc148933,2016-12-10T01:26:12.320Z,"2 km S of San Juan Bautista, California",earthquake,0.15,0.29,0.11,72,reviewed,nc,nc
1989-12-15T05:43:10.910Z,36.9875,-121.6401667,3.364,2.76,md,55,27,0.03153,0.11,nc,nc148918,2016-12-10T01:25:16.320Z,"6 km WSW of Gilroy, California",earthquake,0.15,0.4,0.23,37,reviewed,nc,nc
1989-12-15T05:42:58.820Z,36.9851667,-121.6361667,2.674,2.93,md,71,25,0.03514,0.09,nc,nc149057,2016-12-10T01:25:07.790Z,"6 km WSW of Gilroy, California",earthquake,0.12,0.35,0.15,58,reviewed,nc,nc
1989-12-12T18:42:42.670Z,36.4553333,-120.2018333,14.016,2.63,md,51,218,0.02432,0.19,nc,nc149039,2016-12-10T01:10:19.160Z,"11 km ESE of Cantua Creek, California",earthquake,0.59,0.3,0.15,32,reviewed,nc,nc
1989-12-12T03:52:01.010Z,37.1441667,-121.9796667,12.502,3.6,ml,96,62,0.04505,0.08,nc,nc10090365,2016-12-10T01:07:08.820Z,"2 km SSW of Lexington Hills, California",earthquake,0.14,0.27,,3,reviewed,nc,nc
1989-12-11T22:31:02.230Z,35.7581667,-121.4226667,6.734,2.79,md,50,199,0.0973,0.06,nc,nc10090378,2016-12-10T01:05:35.010Z,"24 km WNW of San Simeon, California",earthquake,0.24,0.27,0.11,70,reviewed,nc,nc
1989-12-10T08:42:53.930Z,36.9956667,-121.6678333,3.174,2.58,md,81,34,0.02432,0.08,nc,nc10090367,2016-12-10T00:57:29.130Z,"7 km NE of Interlaken, California",earthquake,0.11,0.27,0.13,54,reviewed,nc,nc
1989-12-05T22:00:02.650Z,36.9188333,-121.6643333,10.298,2.68,md,83,46,0.01261,0.07,nc,nc148625,2016-12-10T00:34:43.800Z,"3 km NNW of Aromas, California",earthquake,0.14,0.26,0.14,55,reviewed,nc,nc
1989-12-05T02:44:56.800Z,36.6771667,-121.3023333,4.556,2.51,md,63,37,0.02523,0.06,nc,nc148529,2016-12-10T00:30:33.710Z,"12 km S of Tres Pinos, California",earthquake,0.12,0.29,0.14,45,reviewed,nc,nc
1989-12-04T22:29:45.660Z,38.0801667,-120.8206667,17.946,2.66,md,28,76,0.06577,0.09,nc,nc148525,2016-12-10T00:29:56.638Z,"6 km SSE of Rancho Calaveras, California",earthquake,0.21,0.58,0.15,28,reviewed,nc,nc
1989-12-02T20:02:00.400Z,37.2375,-122.0258333,9.551,3.9,ml,81,41,0.04685,0.07,nc,nc10090309,2016-12-10T00:17:51.470Z,"2 km S of Saratoga, California",earthquake,0.14,0.35,,4,reviewed,nc,nc
1989-12-02T18:00:03.220Z,36.648,-121.2686667,4.576,2.77,md,73,39,0.01982,0.11,nc,nc148435,2016-12-10T00:17:11.110Z,"16 km SSE of Tres Pinos, California",earthquake,0.16,0.38,0.1,50,reviewed,nc,nc
1989-12-01T14:06:19.660Z,36.693,-121.3228333,4.328,2.7,md,77,28,0.02342,0.05,nc,nc148354,2016-12-10T00:08:52.570Z,"10 km S of Tres Pinos, California",earthquake,0.1,0.23,0.1,67,reviewed,nc,nc
1989-12-01T13:07:20.180Z,36.693,-121.3233333,3.638,2.55,md,54,46,0.02252,0.07,nc,nc148444,2016-12-10T00:08:25.940Z,"Central California",earthquake,0.15,0.39,0.17,39,reviewed,nc,nc
1989-12-01T13:06:14.780Z,36.6958333,-121.3276667,5.044,2.92,md,88,29,0.01802,0.06,nc,nc148353,2016-12-10T00:08:17.270Z,"Central California",earthquake,0.1,0.24,0.1,91,reviewed,nc,nc
1989-12-01T12:37:43.190Z,36.6906667,-121.3216667,6.148,4.4,ml,87,28,0.02523,0.07,nc,nc10090270,2016-12-10T00:07:29.380Z,"Central California",earthquake,0.13,0.29,,8,reviewed,nc,nc
1989-12-01T11:26:30.000Z,36.683,-121.35,6,3.3,ml,,,,,us,usp00042mb,2014-11-07T00:45:17.115Z,"12 km SSW of Tres Pinos, California",earthquake,,,,,reviewed,brk,brk
1989-12-01T11:26:22.170Z,36.689,-121.3195,6.178,3.3,ml,94,27,0.02793,0.06,nc,nc10090271,2016-12-10T00:06:33.250Z,"11 km S of Tres Pinos, California",earthquake,0.11,0.27,,2,reviewed,nc,nc
1989-12-01T11:16:50.040Z,36.692,-121.3235,5.948,3.5,ml,94,27,0.02342,0.06,nc,nc10090272,2016-12-10T00:06:18.310Z,"10 km S of Tres Pinos, California",earthquake,0.11,0.26,,4,reviewed,nc,nc
1989-11-30T09:50:40.240Z,36.7233333,-121.3618333,3.229,3.5,ml,79,31,0.02072,0.07,nc,nc10090268,2016-12-10T00:01:22.520Z,"8 km SSW of Tres Pinos, California",earthquake,0.13,0.32,,4,reviewed,nc,nc
1989-11-30T05:50:02.200Z,36.4441667,-120.199,14.634,3.16,md,54,204,0.01622,0.15,nc,nc148287,2016-12-09T23:59:58.450Z,"12 km ESE of Cantua Creek, California",earthquake,0.37,0.23,0.11,92,reviewed,nc,nc
1989-11-26T08:52:21.050Z,37.4306667,-121.6893333,8.391,3,md,91,37,0.05495,0.04,nc,nc148025,2016-12-09T23:38:43.190Z,"12 km ENE of East Foothills, California",earthquake,0.11,0.34,0.1,89,reviewed,nc,nc
1989-11-26T07:43:19.140Z,36.9431667,-121.681,8.611,2.65,md,87,53,0.01532,0.08,nc,nc148024,2016-12-09T23:38:21.980Z,"4 km E of Interlaken, California",earthquake,0.14,0.26,0.11,70,reviewed,nc,nc
1989-11-25T09:50:21.310Z,37.1068333,-121.7641667,3.267,3,ml,89,26,0.05676,0.09,nc,nc147971,2016-12-09T23:33:23.320Z,"10 km WSW of Morgan Hill, California",earthquake,0.11,0.31,,4,reviewed,nc,nc
1989-11-25T09:00:31.130Z,37.1085,-121.7666667,2.587,2.5,md,84,24,0.05405,0.1,nc,nc147988,2016-12-09T23:32:45.760Z,"10 km WSW of Morgan Hill, California",earthquake,0.11,0.35,0.12,55,reviewed,nc,nc
1989-11-25T08:56:23.590Z,37.1068333,-121.7643333,2.687,2.92,md,89,26,0.05586,0.11,nc,nc147969,2016-12-09T23:32:36.480Z,"10 km WSW of Morgan Hill, California",earthquake,0.12,0.35,0.12,77,reviewed,nc,nc
1989-11-23T21:58:24.820Z,36.88,-121.6118333,5.5,2.86,md,90,61,0.01622,0.1,nc,nc10090536,2016-12-09T23:25:01.460Z,"2 km ESE of Aromas, California",earthquake,0.14,0.25,0.11,88,reviewed,nc,nc
1989-11-20T17:39:57.580Z,36.914,-121.6571667,8.648,2.89,md,89,39,0.01802,0.09,nc,nc147800,2016-12-09T23:06:00.170Z,"3 km NNW of Aromas, California",earthquake,0.14,0.27,0.12,60,reviewed,nc,nc
1989-11-19T01:28:57.590Z,36.5861667,-121.1831667,3.64,2.61,md,67,32,0.01261,0.07,nc,nc147632,2016-12-09T22:55:59.590Z,"22 km NE of Soledad, California",earthquake,0.13,0.32,0.12,58,reviewed,nc,nc
1989-11-18T02:36:09.430Z,36.4631667,-121.042,4.726,2.78,md,64,57,0.04234,0.05,nc,nc147736,2016-12-09T22:48:12.530Z,"24 km NE of Greenfield, California",earthquake,0.14,0.39,0.11,53,reviewed,nc,nc
1989-11-17T19:32:18.670Z,37.0628333,-121.7873333,7.756,2.69,md,81,26,0.02252,0.11,nc,nc147708,2016-12-09T22:45:09.480Z,"7 km ENE of Day Valley, California",earthquake,0.15,0.27,0.12,45,reviewed,nc,nc
1989-11-16T20:50:33.990Z,36.462,-121.0398333,5.484,2.78,md,73,58,0.04144,0.05,nc,nc147494,2016-12-09T22:39:17.010Z,"24 km NE of Greenfield, California",earthquake,0.13,0.37,0.13,62,reviewed,nc,nc
1989-11-16T17:10:14.310Z,36.964,-121.7218333,13.952,2.92,md,91,43,0.02432,0.07,nc,nc147447,2016-12-09T22:38:09.380Z,"1 km NE of Interlaken, California",earthquake,0.17,0.26,0.12,81,reviewed,nc,nc
1989-11-16T14:07:40.090Z,37.2021667,-122.036,12.346,2.55,md,79,51,0.03784,0.09,nc,nc147448,2016-12-09T22:37:25.430Z,"5 km SW of Monte Sereno, California",earthquake,0.12,0.28,0.13,59,reviewed,nc,nc
1989-11-16T04:59:28.960Z,37.1913333,-122.0381667,12.146,3.2,ml,85,56,0.02703,0.08,nc,nc10090418,2016-12-09T22:32:48.930Z,"6 km SW of Monte Sereno, California",earthquake,0.16,0.34,,4,reviewed,nc,nc
1989-11-15T10:08:41.690Z,37.0705,-121.8793333,12.854,2.5,md,73,60,0.04234,0.07,nc,nc147394,2016-12-09T22:27:17.590Z,"4 km NNW of Day Valley, California",earthquake,0.15,0.26,0.17,50,reviewed,nc,nc
1989-11-15T10:05:03.830Z,37.0711667,-121.8818333,13.405,2.72,md,87,59,0.04324,0.06,nc,nc147393,2016-12-09T22:27:08.910Z,"4 km NNW of Day Valley, California",earthquake,0.14,0.25,0.13,64,reviewed,nc,nc
1989-11-14T21:16:42.540Z,37.0956667,-121.8348333,5.128,3.2,ml,92,36,0.01351,0.09,nc,nc147369,2016-12-09T22:23:16.130Z,"7 km NNE of Day Valley, California",earthquake,0.13,0.21,,4,reviewed,nc,nc
