time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1994-03-13T16:41:26.240Z,34.316,-118.45,4.747,2.96,ml,0,30.7,,0.295,ci,ci3158264,2016-02-12T07:21:14.390Z,"4km NNW of Pacoima, California",earthquake,,0.077,,55,reviewed,ci,ci
1994-03-13T11:12:08.670Z,34.236,-118.606,18.558,2.66,ml,0,35.9,,0.274,ci,ci3158234,2016-02-12T07:21:12.230Z,"2km S of Chatsworth, California",earthquake,,0.152,,51,reviewed,ci,ci
1994-03-13T09:15:55.280Z,34.311,-118.44,5.477,2.58,ml,0,35.7,,0.27,ci,ci3158218,2016-02-12T17:35:28.895Z,"3km N of Pacoima, California",earthquake,,0.865,,27,reviewed,ci,ci
1994-03-12T21:45:43.530Z,34.228,-118.609,4.458,2.6,ml,0,36.3,,0.291,ci,ci3158136,2016-02-12T15:00:22.168Z,"3km N of Canoga Park, California",earthquake,,0.076,,49,reviewed,ci,ci
1994-03-11T13:55:59.510Z,34.314,-118.551,1.57,3.05,ml,0,31.6,,0.273,ci,ci3157952,2016-02-12T15:00:15.585Z,"6km NW of Granada Hills, California",earthquake,,0.098,,50,reviewed,ci,ci
1994-03-11T05:38:46.900Z,34.32,-118.584,4.09,3.01,ml,0,17.3,,0.284,ci,ci3157906,2016-02-12T02:31:08.831Z,"7km NNE of Chatsworth, California",earthquake,,0.052,,55,reviewed,ci,ci
1994-03-10T12:44:14.750Z,34.329,-118.578,3.09,3.49,ml,0,24.5,,0.278,ci,ci3157755,2016-02-12T09:46:54.240Z,"8km NNE of Chatsworth, California",earthquake,,0.06,,53,reviewed,ci,ci
1994-03-10T07:59:55.600Z,34.28,-118.462,8.729,2.53,ml,0,31.1,,0.322,ci,ci3157722,2016-02-11T23:59:38.640Z,"2km W of San Fernando, California",earthquake,,0.293,,50,reviewed,ci,ci
1994-03-10T05:26:51.010Z,34.064,-118.851,13.374,2.5,ml,0,70.5,,0.311,ci,ci3157707,2016-02-12T09:46:47.444Z,"8km NNW of Malibu, California",earthquake,,0.201,,20,reviewed,ci,ci
1994-03-09T09:17:50.300Z,34.381,-118.621,14.11,2.88,ml,0,45.9,,0.236,ci,ci3157649,2016-02-11T21:25:27.900Z,"9km SSW of Valencia, California",earthquake,,0.234,,24,reviewed,ci,ci
1994-03-09T09:17:05.460Z,34.386,-118.62,12.58,2.85,ml,0,21.3,,0.233,ci,ci3157439,2016-02-13T03:44:53.903Z,"9km SSW of Valencia, California",earthquake,,0.18,,37,reviewed,ci,ci
1994-03-09T02:51:13.960Z,34.013,-119.181,3.847,2.67,ml,0,184.8,,0.369,ci,ci3157405,2016-02-11T23:59:27.962Z,"15km S of Port Hueneme, California",earthquake,,0.944,,17,reviewed,ci,ci
1994-03-08T12:53:01.430Z,34.245,-118.458,10.72,3.28,ml,0,29.6,,0.322,ci,ci3157314,2016-02-12T04:57:55.922Z,"3km NNW of Panorama City, California",earthquake,,0.218,,54,reviewed,ci,ci
1994-03-06T18:19:11.480Z,34.354,-118.522,2.029,2.63,ml,0,24.5,,0.276,ci,ci3156974,2016-02-12T09:46:20.551Z,"7km SSW of Santa Clarita, California",earthquake,,0.126,,23,reviewed,ci,ci
1994-03-06T10:41:14.540Z,34.296,-118.461,5.379,2.6,ml,0,26.3,,0.286,ci,ci3156935,2016-02-11T23:58:59.380Z,"2km NW of Pacoima, California",earthquake,,0.792,,22,reviewed,ci,ci
1994-03-06T10:23:58.780Z,34.248,-118.476,13.437,2.8,ml,0,26.4,,0.343,ci,ci3156933,2016-02-11T21:24:58.907Z,"4km SE of Granada Hills, California",earthquake,,0.151,,29,reviewed,ci,ci
1994-03-05T23:37:56.150Z,34.307,-118.478,3.109,3.13,ml,0,31.5,,0.319,ci,ci3156844,2016-02-12T02:30:36.304Z,"4km NNE of Granada Hills, California",earthquake,,0.074,,28,reviewed,ci,ci
1994-03-05T14:23:12.090Z,34.31,-118.475,2.489,3.14,ml,0,27.9,,0.324,ci,ci3156773,2016-02-12T04:57:30.309Z,"4km NW of Pacoima, California",earthquake,,0.082,,27,reviewed,ci,ci
1994-03-04T23:48:52.710Z,34.198,-118.566,18.191,2.56,ml,0,38.3,,0.3,ci,ci3156689,2016-02-11T21:24:47.694Z,"3km NNW of Tarzana, California",earthquake,,0.292,,21,reviewed,ci,ci
