time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-12-27T18:25:52.970Z,34.518,-116.309,-0.072,2.6,ml,0,55.8,,0.173,ci,ci9131071,2016-02-16T06:53:59.452Z,"26km SSW of Ludlow, California",earthquake,,0.588,,114,reviewed,ci,ci
1999-12-26T20:21:21.480Z,34.813,-116.355,3.251,3.84,ml,0,56.3,,0.185,ci,ci3321763,2016-04-02T19:51:34.216Z,"20km WNW of Ludlow, CA",earthquake,,0.326,,218,reviewed,ci,ci
1999-12-26T20:21:04.350Z,34.8075,-116.3265,4.063,2.77,ml,21,66,,0.22,ci,ci9130956,2016-02-17T02:17:04.935Z,"18km WNW of Ludlow, California",earthquake,0.39,0.3,0.332,123,reviewed,ci,ci
1999-12-26T20:12:32.480Z,34.809,-116.361,2.404,2.74,ml,0,88.7,0.02874,0.175,ci,ci9130952,2016-02-17T07:03:22.514Z,"21km WNW of Ludlow, California",earthquake,,0.666,,18,reviewed,ci,ci
1999-12-26T15:14:07.640Z,34.797,-116.371,0.074,3.39,ml,0,62.7,,0.18,ci,ci9130917,2016-04-02T16:53:26.768Z,"21km WNW of Ludlow, CA",earthquake,,0.316,,212,reviewed,ci,ci
1999-12-25T23:20:04.030Z,34.684,-116.298,4.324,2.67,ml,0,40.7,,0.195,ci,ci9130840,2016-02-16T23:50:34.515Z,"13km WSW of Ludlow, California",earthquake,,0.708,,150,reviewed,ci,ci
1999-12-25T21:10:07.670Z,34.823,-116.332,4.899,2.69,ml,0,124.5,,0.236,ci,ci9130814,2016-02-16T21:21:35.097Z,"19km NW of Ludlow, California",earthquake,,0.498,,148,reviewed,ci,ci
1999-12-25T18:26:53.840Z,34.4538333,-116.2611667,-0.902,2.9,ml,42,40,,0.28,ci,ci9130803,2016-04-01T19:57:16.208Z,"31km SSW of Ludlow, CA",earthquake,0.28,0.63,,168,reviewed,ci,ci
1999-12-25T12:12:34.040Z,34.458,-116.474,1.59,2.86,ml,0,27.8,,0.18,ci,ci9130785,2016-02-17T02:16:53.613Z,"38km N of Yucca Valley, California",earthquake,,0.278,,170,reviewed,ci,ci
1999-12-25T00:39:15.510Z,34.241,-116.746,8.562,2.56,ml,0,26.4,,0.173,ci,ci9130731,2016-02-16T02:13:03.126Z,"9km ESE of Big Bear City, California",earthquake,,0.542,,154,reviewed,ci,ci
1999-12-24T13:26:53.510Z,34.703,-116.352,4.249,2.54,ml,0,74.8,,0.173,ci,ci9130634,2016-02-17T09:26:10.723Z,"18km W of Ludlow, California",earthquake,,1.346,,131,reviewed,ci,ci
1999-12-24T00:43:56.860Z,34.654,-116.292,2.894,3.24,ml,0,39.7,,0.197,ci,ci9130550,2016-04-02T00:50:26.270Z,"14km WSW of Ludlow, CA",earthquake,,0.542,,16,reviewed,ci,ci
1999-12-24T00:16:22.160Z,34.529,-116.241,4.387,2.98,ml,0,61.4,,0.173,ci,ci9130526,2016-02-16T18:51:52.149Z,"23km SSW of Ludlow, California",earthquake,,0.696,,3,reviewed,ci,ci
1999-12-23T22:19:10.500Z,34.585,-116.285,-0.161,2.6,mc,0,58.4,,0.205,ci,ci9130496,2016-02-16T13:56:58.300Z,"19km SW of Ludlow, California",earthquake,,0.38,,52,reviewed,ci,ci
1999-12-23T14:30:54.380Z,34.592,-116.265,6.53,4.03,ml,0,41.4,,0.161,ci,ci9130422,2016-04-02T16:51:16.481Z,"17km SW of Ludlow, CA",earthquake,,2.538,,209,reviewed,ci,ci
1999-12-23T09:56:29.920Z,34.783,-116.294,3.694,2.57,ml,0,66.9,,0.177,ci,ci9130398,2016-02-16T16:24:44.150Z,"14km WNW of Ludlow, California",earthquake,,0.128,,121,reviewed,ci,ci
1999-12-22T12:34:00.540Z,33.5701675,-115.862999,-0.818,2.61,ml,0,156,0.2499,0.68,ci,ci9526857,2016-02-16T04:33:00.741Z,"8km NE of North Shore, California",earthquake,3.32,17.5,0.1,100,automatic,ci,ci
1999-12-22T12:15:17.480Z,34.21,-116.802,-0.892,2.65,ml,0,23.8,,0.166,ci,ci9130270,2016-02-16T18:51:44.398Z,"7km SE of Big Bear City, California",earthquake,,0.274,,129,reviewed,ci,ci
1999-12-22T09:16:59.300Z,34.618,-116.25,-0.89,3.16,ml,0,42.1,,0.176,ci,ci9130277,2016-04-02T04:01:23.370Z,"14km SW of Ludlow, CA",earthquake,,0.459,,14,reviewed,ci,ci
1999-12-22T09:11:00.630Z,34.619,-116.251,-0.89,3.03,ml,0,99,,0.157,ci,ci9130273,2016-04-02T19:51:43.964Z,"14km SW of Ludlow, CA",earthquake,,0.616,,156,reviewed,ci,ci
1999-12-22T04:43:18.430Z,34.111,-117.014,4.806,2.58,ml,0,209.4,,0.148,ci,ci9130241,2016-02-17T09:25:58.347Z,"9km NNE of Yucaipa, California",earthquake,,,,4,reviewed,ci,ci
1999-12-21T11:14:23.770Z,34.6166667,-116.2851667,2.064,2.72,ml,24,69,,0.17,ci,ci9130116,2016-04-01T23:13:55.365Z,"16km SW of Ludlow, CA",earthquake,0.4,0.92,,160,reviewed,ci,ci
1999-12-20T20:44:12.040Z,34.8523333,-116.3446667,4.99,3.33,ml,45,49,,0.17,ci,ci9130027,2016-04-02T08:53:42.887Z,"22km NW of Ludlow, CA",earthquake,0.2,31.61,0.17,77,reviewed,ci,ci
1999-12-20T14:18:46.500Z,34.531,-116.298,-1.187,2.53,ml,0,150.1,,0.136,ci,ci9129962,2016-02-17T04:39:31.084Z,"25km SSW of Ludlow, California",earthquake,,4.897,,119,reviewed,ci,ci
